,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,edge_length_total,entropy,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,city1
77,ITA_Grosseto,Italy,IT520,1193.51,2.323065653,0.052437382,1.131975517,0.099200127,0.000741378,0.001015161,0.765557919,0.665024961,1.635511237,1.399991617,0.583841852,0.682061163,2013.726624,267.341809,2403402,0.009746703,644,0.153005464,3063,0.727726301,451,0.107151342,3565,2.98698796,4.271798527,8990,4209,3.526572882,0.001081798,3.59E-05,0.006674082,1118.647569,226.7137137,1335117.06,5889,2.796388691,Grosseto
78,ITA_oast,Italy,IT521,637.078,2.542742076,0.048151031,1.062607635,0.071111982,0.000778339,0.00061423,0.686342897,0.672838558,1.424138468,1.351434456,0.563591943,0.593911871,4832.391337,171.0434029,3078610,0.07078506,965,0.126044932,5364,0.700626959,1241,0.162095089,6691,10.50263861,4.701933124,17999,7656,12.01736679,0.000587641,1.97E-05,0.001777877,2692.723767,154.8682019,1715475.072,11077,2.909221526,oast
79,ITA_rapani,Italy,IT522,504.08,2.630717439,0.048612953,1.093477489,0.043537528,0.000486331,0.000776794,0.736637826,0.513514784,1.508702866,1.101762384,0.459470602,0.629177964,4483.580487,159.5315347,2260083,0.030796722,1176,0.194701987,3850,0.637417219,949,0.157119205,4864,9.649262022,4.691059603,14167,6040,11.98222504,0.000828448,2.49E-05,0.000423519,2444.666739,148.042721,1232307.61,8324,2.762913907,rapani
80,ITA_Ragusa,Italy,IT523,529.305,2.586107056,0.068343965,1.102728958,0.077799405,0.00045173,0.000753874,0.739680623,0.5332756,1.466938585,1.13036865,0.471400341,0.611760906,3755.807196,138.7857811,1987967,0.078589242,1067,0.173073804,3788,0.614436334,1207,0.195782644,5098,9.631497908,4.646877534,14324,6165,11.64734888,0.000912755,2.45E-05,0.002024574,2039.750273,123.5721664,1079650.018,8737,2.845742092,Ragusa
81,ITA_Andria,Italy,IT524,402.897,2.438020233,0.047762856,1.060581154,0.056345243,0.00100765,0.001743982,0.748861491,0.559440058,1.577577114,1.237601926,0.482505404,0.615051954,2640.765588,180.148414,1063956,0.049139383,324,0.124471763,1784,0.685363043,471,0.180945063,2279,5.656532563,4.537840953,5906,2603,6.46070832,0.001766488,5.83E-05,0.001354555,1461.815797,155.2758236,588961.199,3793,2.928543988,Andria
82,ITA_rani,Italy,IT525,103.424,2.412454367,0.047007066,1.051269965,0.080146026,0.002740658,0.003831559,0.641679183,0.723934105,1.351558039,1.465526683,0.611172098,0.563643481,5399.400729,207.055106,558427,0.207910506,129,0.108677338,829,0.698399326,218,0.183656276,1058,10.22973391,4.544229149,2697,1187,11.47702661,0.002934311,0.000129207,0.001853912,3074.262782,183.3636413,317952.554,1734,2.964616681,rani
83,ITA_L'Aquila,Italy,IT526,1406.05,2.594769761,0.0714068,1.202093186,0.092091708,0.00030205,0.000548468,0.782644557,0.659321418,1.66770881,1.446927182,0.534305893,0.615833787,2861.762146,198.0889413,4023780,0.016401285,1501,0.174392936,6401,0.743696991,551,0.06401766,7106,5.053874329,4.720111537,20313,8607,6.121403933,0.00055813,1.75E-05,0.003101462,1514.047234,182.7161715,2128826.114,11651,2.705588474,L'Aquila
0,LVA_Riga,Latvia,LV001,6147.58,2.809277841,0.0318849,1.083680163,0.04845306,0.000478567,0.000160377,0.79656405,0.73887151,1.779137563,1.642974864,0.622561263,0.674156466,3037.796983,247.1886165,18675099,0.002724063,7673,0.249975566,19822,0.645772927,2952,0.096172015,23022,3.744888232,4.922625835,75550,30695,4.993021644,0.000127437,4.89E-06,0.004950364,1581.350271,243.2863009,9721477.296,39959,2.596351197,Riga
1,LVA_iepaja,Latvia,LV002,2711.45,2.918516351,0.022145232,1.072982332,0.048872239,0.001134694,0.001209837,0.663631225,0.756958817,1.474926003,1.688780195,0.679615146,0.593553888,1977.511069,486.0335741,5361922,0.063654231,931,0.217981737,2749,0.643643175,537,0.125731679,3340,1.231813236,5.166003278,11032,4271,1.575171956,0.000723432,3.51E-05,0.004169688,998.4399698,471.6411247,2707220.056,5740,2.684851323,iepaja
2,LVA_Jelgava,Latvia,LV003,1665.05,2.886028946,0.021761473,1.084070161,0.044776119,0.00126448,0.001380129,0.754957565,0.748761887,1.624768474,1.658492532,0.646598549,0.633450508,2389.495196,424.7042032,3978628,0.009897215,901,0.244504749,2405,0.652645862,365,0.099050204,2784,1.672021861,5.084396201,9368,3685,2.213146752,0.000872009,4.08E-05,0.005977797,1205.000763,417.9101273,2006386.521,4801,2.609497965,Jelgava
